Soil_pH,Nitrogen_Level,Phosphorus_Level,Potassium_Level,Temperature,Humidity,Rainfall,Crop_Type,Crop_Growth_Stage,Recommended_Fertilizer,,
5.49,71,67,19,31.48,88.92,2636.09,Maize,Flowering,MOP,,
8.1,117,52,58,19.66,70.48,1395.79,Potato,Harvest,Zinc Sulphate,,
8.14,38,41,28,13.54,77.22,1582.71,Sugarcane,Harvest,Urea,,
8.27,102,39,83,22.14,54.09,553.56,Rice,Sowing,DAP,,
6.58,22,70,59,34.72,54.88,1609.98,Maize,Harvest,Urea,,
7.21,86,37,57,13.91,89.21,871.44,Maize,Flowering,DAP,,
7.61,45,54,32,26.63,42.04,2336.35,Sugarcane,Sowing,Urea,,
5.02,25,19,109,13.97,49.62,2199.32,Potato,Flowering,Urea,,
6.9,46,25,114,11.48,41.71,244.36,Maize,Flowering,Urea,,
4.64,124,40,18,21.36,46.96,1582.67,Tomato,Flowering,MOP,,
6.49,107,19,75,29.74,69.81,327.1,Potato,Vegetative,DAP,,
5.12,29,83,28,18.25,48.54,1793.99,Maize,Sowing,Urea,,
5.23,35,21,81,23.37,82.53,2724.59,Potato,Harvest,Urea,,
5.96,42,37,99,24.74,32.92,2628.07,Wheat,Harvest,Urea,,
6.23,66,27,60,35.24,51.28,882.68,Sugarcane,Sowing,DAP,,
6.99,31,61,109,34.57,81.64,592.32,Wheat,Sowing,Urea,,
4.8,96,37,20,10.07,67.28,2414.98,Potato,Harvest,DAP,,
6.51,37,37,12,22.42,76.26,1729.31,Wheat,Harvest,Urea,,
5.23,77,73,70,29.68,49.42,1386.72,Tomato,Sowing,Compost,,
6.8,149,23,103,35.57,52.16,2469.39,Sugarcane,Harvest,DAP,,
7.05,106,17,91,11.47,83.29,907.03,Maize,Sowing,DAP,,
6.73,83,12,26,28.85,74.97,828.9,Maize,Harvest,DAP,,
7.45,106,83,82,35.26,53.06,1913.41,Rice,Vegetative,NPK,,
5.84,73,18,39,17.65,42.92,963.24,Rice,Flowering,DAP,,
7.56,97,56,89,16.16,36.38,1395.01,Potato,Vegetative,NPK,,
6.23,33,72,17,24.04,81.71,1473.48,Sugarcane,Harvest,Urea,,
6.44,57,49,50,38.88,71.86,774.07,Tomato,Flowering,Urea,,
7.09,124,86,35,30.79,66.44,372.72,Cotton,Sowing,MOP,,
4.57,35,33,14,22.73,76.6,2346.7,Wheat,Harvest,Urea,,
7.12,101,80,78,10.63,84.9,2394.04,Potato,Flowering,Urea,,
6.97,93,22,119,26.7,75.7,1875.43,Sugarcane,Harvest,DAP,,
5.74,49,15,33,20.46,55.24,616.11,Maize,Flowering,Urea,,
4.84,87,83,87,15.57,40.59,1533.4,Wheat,Flowering,Compost,,
4.86,90,60,78,25,72.83,698.12,Rice,Flowering,Compost,,
8.19,99,69,45,20.24,44.8,2667.57,Wheat,Harvest,Zinc Sulphate,,
7.26,134,84,98,11.16,76.96,2152.41,Rice,Harvest,NPK,,
5.01,56,38,26,31.77,50.32,287.85,Tomato,Flowering,Urea,,
5.93,74,25,79,31.98,39.41,204.66,Sugarcane,Vegetative,DAP,,
6.87,116,73,80,28.56,45.28,2954.53,Rice,Harvest,Urea,,
7.84,118,64,55,35.22,46,311.57,Tomato,Sowing,Zinc Sulphate,,
4.67,131,38,88,16.1,52.73,2624.41,Tomato,Vegetative,DAP,,
5.45,137,87,79,18.59,45.44,2876.28,Sugarcane,Harvest,Compost,,
8.06,76,64,41,23.76,43.53,1062.69,Sugarcane,Sowing,Zinc Sulphate,,
4.54,116,69,69,11.81,53.5,1712.38,Maize,Flowering,Compost,,
5.31,81,50,51,36.51,82.09,2012.74,Cotton,Sowing,Compost,,
8.34,58,89,49,24.72,34.23,1657.2,Potato,Harvest,Urea,,
6.95,93,18,36,19.74,47.77,797.81,Cotton,Flowering,DAP,,
5.55,86,15,113,24.34,63.74,1827.46,Potato,Flowering,DAP,,
4.77,48,38,14,19.75,82.47,924.28,Cotton,Flowering,Urea,,
4.61,50,27,70,18.59,47.05,662.06,Sugarcane,Vegetative,Urea,,
5.48,79,33,70,23.44,50.92,1615.47,Tomato,Flowering,DAP,,
8.03,58,60,89,24.46,77.88,1241.6,Potato,Vegetative,Urea,,
6.16,20,26,61,23,52.35,276.75,Tomato,Harvest,Urea,,
7.38,75,30,84,26.44,81.09,2859.1,Potato,Harvest,DAP,,
8.17,120,71,112,33.5,57.32,310.76,Sugarcane,Harvest,Zinc Sulphate,,
6.13,110,84,98,11.72,64.15,2728.28,Potato,Harvest,MOP,,
5.27,149,63,75,34.35,63.65,731.26,Maize,Vegetative,Compost,,
6.57,125,20,101,16.86,37.16,597.21,Potato,Harvest,DAP,,
8.13,150,52,16,17.56,51.3,393.66,Maize,Flowering,MOP,,
7.72,24,17,47,27.98,44.5,1391.97,Rice,Vegetative,Urea,,
4.76,100,32,60,39.27,70.98,1843.21,Rice,Vegetative,DAP,,
7.27,148,62,10,10.52,86.02,2730.46,Sugarcane,Vegetative,MOP,,
6.79,139,49,91,30.19,42.75,2394.5,Cotton,Harvest,Urea,,
8.13,62,18,85,30.91,35.48,646.95,Tomato,Harvest,DAP,,
4.99,111,33,58,27.21,60.4,669.63,Tomato,Harvest,DAP,,
6.64,97,85,81,10.29,53.45,222.85,Wheat,Flowering,SSP,,
8.02,34,85,29,28.19,32.14,2125.9,Maize,Flowering,Urea,,
6.14,65,11,108,13.45,85.3,248.94,Wheat,Flowering,DAP,,
6.43,26,79,51,12.34,86.41,587.94,Potato,Vegetative,Urea,,
4.78,134,13,25,30.88,81.02,1976.74,Wheat,Sowing,DAP,,
5.61,26,70,42,31.01,46.83,620.75,Sugarcane,Vegetative,Urea,,
5.8,107,86,113,36.7,37.35,629.01,Rice,Harvest,SSP,,
8.28,109,73,98,10.1,65.55,855.21,Cotton,Sowing,Zinc Sulphate,,
5.63,38,45,92,21.36,46.89,1278.73,Wheat,Flowering,Urea,,
6.34,72,50,108,10.37,42.1,222.03,Maize,Flowering,Urea,,
7.19,109,47,25,20.94,68.48,2288.97,Maize,Harvest,MOP,,
5.15,35,24,25,24.75,75.02,2366.71,Maize,Sowing,Urea,,
6.45,81,57,57,25.89,61.64,1226.88,Potato,Sowing,Zinc Sulphate,,
7.45,84,39,98,20.68,49.2,2434.75,Wheat,Vegetative,DAP,,
7.97,131,72,105,31.76,60.75,997.36,Potato,Flowering,Zinc Sulphate,,
7.01,55,34,64,22.47,65.98,2959.94,Tomato,Sowing,Urea,,
7.18,43,13,117,25.51,33.11,1313.65,Rice,Vegetative,Urea,,
5.01,88,27,37,34,56.63,2072.69,Cotton,Flowering,DAP,,
8.28,138,54,82,15.23,65.9,1102.85,Tomato,Vegetative,Zinc Sulphate,,
5.03,148,74,91,19.63,37.77,1462.33,Wheat,Vegetative,Compost,,
7.6,142,82,32,25.64,56.93,2006.24,Rice,Sowing,MOP,,
5.56,156,74,39,33.03,50.8,1173.07,Tomato,Harvest,MOP,,
8.23,119,36,70,22.76,82.07,2038.46,Tomato,Harvest,DAP,,
7.38,34,88,105,12.18,59.36,608.84,Tomato,Vegetative,Urea,,
7.52,93,69,97,39.66,55.58,1554.51,Cotton,Sowing,MOP,,
5.38,55,68,84,31.24,44.63,964.01,Cotton,Harvest,Urea,,
6.27,72,34,35,31.68,87.45,2776.08,Potato,Vegetative,DAP,,
6.97,98,43,20,23.95,87.67,2509.17,Cotton,Sowing,MOP,,
7.58,150,59,29,26.41,52.01,1564.77,Potato,Vegetative,MOP,,
4.92,60,64,53,39.82,85.74,1470.5,Cotton,Vegetative,Compost,,
8.35,56,19,27,27.85,67.12,2535.17,Cotton,Vegetative,Urea,,
8.06,155,67,43,16.57,76.86,2133.26,Potato,Sowing,Zinc Sulphate,,
5.58,107,12,109,38.93,35.39,2113.3,Rice,Vegetative,DAP,,
7.79,33,65,13,26.13,31.28,1735.11,Tomato,Flowering,Urea,,
6.57,54,36,94,10.62,60.84,2614.61,Tomato,Sowing,Urea,,
6.35,90,25,99,27.2,34.55,730.6,Tomato,Vegetative,DAP,,
5.76,27,47,23,12.11,83.5,2613.28,Cotton,Flowering,Urea,,
6.82,31,62,99,25.83,79.21,1658.08,Wheat,Harvest,Urea,,
7.42,129,77,22,34.76,72.89,1939.72,Tomato,Harvest,MOP,,
6.14,99,32,99,26.17,31.88,2894.78,Rice,Sowing,DAP,,
7.02,134,65,50,21.2,57.5,1388.61,Cotton,Harvest,SSP,,
7.3,87,88,88,36.48,34.69,2070.49,Rice,Vegetative,NPK,,
7.34,64,84,100,37.83,85.72,1661.96,Rice,Sowing,Urea,,
4.71,60,62,66,20.42,66.76,2808.5,Maize,Sowing,Compost,,
7.94,80,83,96,24.97,39.39,1565.41,Rice,Vegetative,Zinc Sulphate,,
6.33,95,81,31,39.49,63.64,917.17,Maize,Harvest,MOP,,
5.55,118,76,19,15.34,37.11,1551.65,Sugarcane,Flowering,MOP,,
5.47,86,28,78,18.94,38.74,2766.92,Maize,Harvest,DAP,,
6.43,21,13,77,22.85,34.86,1602,Sugarcane,Sowing,Urea,,
8.05,141,38,59,13.03,82.3,609.2,Sugarcane,Harvest,DAP,,
6.01,153,54,109,18.16,62.74,1716.5,Sugarcane,Vegetative,NPK,,
7.5,35,30,25,26.34,49.67,1285.28,Maize,Vegetative,Urea,,
4.89,42,63,105,16.85,30.04,2019.37,Rice,Harvest,Urea,,
6.4,114,82,20,30.59,58.32,875.79,Cotton,Sowing,MOP,,
8.47,133,61,112,20.43,60.77,1102.42,Potato,Harvest,Zinc Sulphate,,
7.58,60,27,106,12.69,50.19,1646.41,Sugarcane,Sowing,DAP,,
5.34,138,26,108,32.94,59.06,531.19,Cotton,Flowering,DAP,,
6.51,141,53,77,27.02,36.04,789.42,Rice,Flowering,Urea,,
5.43,74,33,96,34.75,85.32,2443.76,Sugarcane,Flowering,DAP,,
6.14,151,15,76,20.8,45.5,2829.81,Sugarcane,Harvest,DAP,,
7.62,129,36,29,10.58,86.91,2914.7,Sugarcane,Sowing,DAP,,
7.58,119,56,74,11.4,59.57,2824.33,Sugarcane,Vegetative,NPK,,
5.41,47,55,42,33.86,81.4,2837.65,Maize,Sowing,Urea,,
8.19,47,44,19,22.32,64.63,2499.06,Maize,Sowing,Urea,,
6.87,142,66,117,39.29,80.66,2259.72,Wheat,Harvest,SSP,,
6.02,45,21,76,34.91,30.61,849.15,Cotton,Sowing,Urea,,
6.51,32,38,64,10.48,41.19,1436.84,Cotton,Sowing,Urea,,
6.92,90,66,41,36.1,51.23,1314.3,Wheat,Flowering,Urea,,
6.74,73,79,54,16.39,47.77,2244.96,Maize,Vegetative,NPK,,
6.45,32,64,68,24.59,86.8,1531.08,Wheat,Flowering,Urea,,
6.52,139,46,111,25.18,53.68,1208.49,Sugarcane,Vegetative,NPK,,
5.21,78,80,40,11.79,88.33,2479.41,Maize,Flowering,Compost,,
7.75,23,79,94,13.77,69.06,2299.74,Sugarcane,Sowing,Urea,,
6.67,99,62,97,22.69,80.13,1232.69,Wheat,Flowering,NPK,,
5.02,79,23,97,29.28,53.63,1374.1,Cotton,Harvest,DAP,,
7.56,66,30,61,17.93,41.4,2700.93,Rice,Harvest,DAP,,
8.23,96,87,19,25.79,33.03,2251.5,Potato,Harvest,MOP,,
8.29,24,23,15,21.37,69.38,2131.95,Tomato,Harvest,Urea,,
5.98,55,62,101,28.91,88.31,2192.77,Rice,Sowing,Urea,,
5.04,38,76,10,22.73,37.1,486.45,Tomato,Vegetative,Urea,,
6.57,49,88,55,35.55,76.31,1777.8,Potato,Harvest,Urea,,
4.95,130,57,117,39.51,51.88,1014.8,Sugarcane,Flowering,Compost,,
8.24,60,87,83,37.39,89.61,437.53,Potato,Flowering,Zinc Sulphate,,
5.23,47,65,114,15.06,82.2,2246.99,Rice,Sowing,Urea,,
5.51,50,48,39,23.72,43.85,1052.14,Sugarcane,Harvest,Urea,,
6.13,156,50,88,23.76,75.95,1068.16,Wheat,Sowing,MOP,,
6.03,31,57,87,35.21,74.05,1991.6,Maize,Sowing,Urea,,
7.68,159,37,72,20.72,75.8,2065.54,Cotton,Vegetative,DAP,,
6.33,61,11,97,26.49,34.97,1527.38,Sugarcane,Sowing,DAP,,
5.18,109,31,72,28.28,78.56,1758.11,Tomato,Vegetative,DAP,,
5.57,35,80,83,13.35,45.69,2576.88,Maize,Flowering,Urea,,
6.54,118,70,99,26.74,65.43,499.82,Maize,Flowering,SSP,,
5.09,151,89,10,17.41,36.92,382.98,Tomato,Vegetative,MOP,,
6.95,134,45,29,16.2,63.49,2037.49,Sugarcane,Vegetative,MOP,,
6.76,32,75,38,17.51,84.39,1890.67,Cotton,Sowing,Urea,,
7.36,79,58,43,12.98,40.63,720.59,Cotton,Sowing,MOP,,
8.25,47,12,75,12.09,81.3,1661.32,Maize,Vegetative,Urea,,
8.15,128,32,75,29.41,56.13,2287.87,Rice,Sowing,DAP,,
8.28,159,68,11,38.23,49.34,2248.78,Tomato,Harvest,MOP,,
5.48,111,37,81,30.64,33.43,1868.02,Maize,Vegetative,DAP,,
5.03,148,81,63,19.36,61.71,565.25,Wheat,Flowering,Compost,,
5.71,150,42,98,20.05,42,1051.22,Potato,Flowering,SSP,,
8.08,41,77,27,26.24,86.41,1336.19,Potato,Flowering,Urea,,
8.39,104,80,118,35.99,44.29,2407.11,Sugarcane,Vegetative,Zinc Sulphate,,
7.94,46,20,90,16.07,65.21,1722.67,Maize,Flowering,Urea,,
4.94,63,17,39,24.06,63.51,2252.96,Cotton,Harvest,DAP,,
8.29,99,29,17,24.97,50.21,2785.83,Wheat,Sowing,DAP,,
6.19,129,71,51,37.94,81.12,1946.98,Maize,Harvest,Compost,,
4.54,43,52,119,26.08,40.99,864.01,Sugarcane,Flowering,Urea,,
6.27,36,84,38,33.43,79.02,590.83,Sugarcane,Flowering,Urea,,
4.68,24,79,60,12.63,42.45,201.52,Sugarcane,Harvest,Urea,,
6.68,57,16,92,19.81,32.35,691.76,Cotton,Harvest,Urea,,
5.85,78,19,110,28.34,86.63,953.79,Potato,Vegetative,DAP,,
6.39,124,49,33,30.33,68.24,955.38,Sugarcane,Harvest,MOP,,
6.95,115,13,91,36.56,67.83,2067.83,Wheat,Sowing,DAP,,
7.98,109,82,19,27.71,45.9,620.67,Tomato,Harvest,MOP,,
7.15,90,28,25,18.69,38.35,1419.28,Rice,Flowering,DAP,,
6.24,119,47,59,26.17,72.36,213.74,Wheat,Vegetative,NPK,,
7.78,74,31,50,31.35,61.12,931.25,Cotton,Harvest,DAP,,
8.12,90,10,115,33.53,49.07,314.95,Cotton,Vegetative,DAP,,
4.98,110,62,63,38.34,49.01,2186.77,Wheat,Flowering,Compost,,
6.63,131,30,53,15.72,83.36,1192.06,Wheat,Sowing,DAP,,
5.64,107,16,69,29.83,83.38,1544.27,Wheat,Vegetative,DAP,,
4.69,80,16,78,16.01,46.48,2332.07,Cotton,Flowering,DAP,,
7.17,127,86,88,19.54,77.65,2616.18,Tomato,Sowing,DAP,,
7.95,53,32,32,14.28,43.6,1646.69,Sugarcane,Harvest,Urea,,
5.15,64,69,104,33.19,78.48,2019.36,Potato,Harvest,Compost,,
7.75,148,27,103,37.42,37.58,2260.75,Cotton,Harvest,DAP,,
7.91,157,80,80,10.9,75.49,998.88,Sugarcane,Sowing,Zinc Sulphate,,
8.16,113,75,29,34.41,63.34,2180.33,Wheat,Flowering,MOP,,
5.56,47,62,48,17.25,37.06,2030.3,Potato,Harvest,Urea,,
8.12,125,28,12,24.61,66.95,1440.58,Potato,Vegetative,DAP,,
5.78,49,73,12,32.45,41.54,1154.13,Potato,Flowering,Urea,,
6.71,47,23,40,25.21,41.65,2926.25,Potato,Harvest,Urea,,
4.7,50,34,16,16.94,56.84,2961.69,Sugarcane,Sowing,Urea,,
4.68,126,42,10,37.18,87.86,2146.3,Maize,Vegetative,MOP,,
7.38,102,57,65,27.81,83.53,1275.65,Rice,Harvest,NPK,,
6.28,128,48,36,37.94,79.59,2304.3,Sugarcane,Flowering,MOP,,
5.53,50,14,74,35.4,81.07,2101.87,Rice,Harvest,Urea,,
5.26,60,30,79,36.3,59.84,1725.96,Wheat,Flowering,DAP,,
7.18,83,68,93,20.85,52.48,569.14,Rice,Harvest,Compost,,
4.5,141,86,48,39.62,83.04,2850.49,Maize,Sowing,Compost,,
7.72,63,23,117,35.57,34.85,851.75,Potato,Flowering,DAP,,
4.82,135,72,12,20.13,89.77,1301.12,Cotton,Vegetative,MOP,,
5.27,158,63,68,36.89,63.18,1158.77,Rice,Vegetative,Compost,,
6.04,55,89,11,32.66,62.43,630.51,Cotton,Vegetative,Urea,,
6.44,127,54,56,31.75,47.52,268.63,Tomato,Flowering,NPK,,
5.92,51,59,105,10.19,40.22,2803.45,Cotton,Sowing,Urea,,
5.78,123,50,29,10.68,70.82,2270.52,Tomato,Vegetative,MOP,,
8.36,86,10,109,30.84,51.7,258,Sugarcane,Vegetative,DAP,,
7.07,111,11,36,18.36,48.15,2125.75,Rice,Harvest,DAP,,
4.59,44,81,93,11.76,39.74,563.17,Potato,Vegetative,Urea,,
6.22,47,22,28,18.58,62.11,2227.18,Sugarcane,Sowing,Urea,,
8,38,28,64,35.14,65.3,1614.5,Potato,Sowing,Urea,,
5.71,75,60,72,24.12,56.58,2938,Potato,Sowing,NPK,,
4.88,132,11,94,28.47,30.72,1410.59,Rice,Sowing,DAP,,
7.53,107,19,52,34.02,59.5,2297.05,Tomato,Sowing,DAP,,
6.92,121,78,93,19.7,46.32,315.67,Maize,Flowering,MOP,,
6.78,145,39,14,10.33,38.32,2819.56,Maize,Sowing,DAP,,
4.71,101,74,29,19.7,64.65,1774.89,Sugarcane,Harvest,MOP,,
5.06,60,53,85,38.7,70.27,1079.81,Wheat,Vegetative,Compost,,
6.99,145,51,70,24.47,61.13,555.3,Tomato,Flowering,Zinc Sulphate,,
5.33,32,12,71,27.09,66.86,1994.29,Cotton,Harvest,Urea,,
6.52,118,39,83,32.81,66.39,2289.62,Cotton,Sowing,DAP,,
6.68,102,46,72,13.45,37.45,438.94,Rice,Vegetative,NPK,,
5.63,43,37,31,32.02,42.95,661.05,Maize,Harvest,Urea,,
8.29,116,60,47,18.93,30.57,1279.2,Tomato,Harvest,Zinc Sulphate,,
7.87,92,22,101,21.64,88.91,2584.92,Tomato,Sowing,DAP,,
7.39,22,49,21,18.08,42.67,2952.21,Sugarcane,Vegetative,Urea,,
4.81,22,35,112,14.61,78.88,2286.08,Wheat,Vegetative,Urea,,
4.92,49,39,83,20.84,76.87,215.62,Tomato,Harvest,Urea,,
6.47,85,33,70,12.84,72.3,2729.68,Rice,Harvest,DAP,,
5.14,46,47,108,35.34,56.98,274.35,Maize,Harvest,Urea,,
8.41,119,78,57,19.18,65.03,2711.95,Wheat,Harvest,Zinc Sulphate,,
5.13,124,25,117,29.61,41.18,1348.89,Wheat,Harvest,DAP,,
6.45,129,64,113,18.9,36.37,2277.07,Sugarcane,Harvest,NPK,,
5.96,38,58,110,16.32,51.11,443.79,Sugarcane,Harvest,Urea,,
7.06,35,89,26,31.41,79.54,661.8,Maize,Flowering,Urea,,
5.02,45,61,100,28.72,63.84,1462.15,Tomato,Sowing,Urea,,
6.22,33,58,61,16.54,75.83,307.82,Sugarcane,Vegetative,Urea,,
5.6,66,73,55,28.36,83.42,1291.32,Tomato,Sowing,DAP,,
8.05,130,57,65,10.15,63.63,2305.5,Rice,Harvest,Zinc Sulphate,,
4.66,49,83,38,15.31,52.04,2033.2,Cotton,Harvest,Urea,,
8.15,124,47,99,31.83,81.34,1184.98,Rice,Sowing,Zinc Sulphate,,
7.83,67,26,82,22.3,43.78,224.76,Potato,Vegetative,DAP,,
5.69,61,50,60,16.11,31.49,955.09,Rice,Sowing,Zinc Sulphate,,
7.66,60,63,85,25.18,33.04,2373.44,Wheat,Flowering,NPK,,
4.62,115,49,116,23.96,64.93,1153.48,Tomato,Flowering,Compost,,
8.37,113,40,35,29.02,83.54,1256.99,Maize,Harvest,MOP,,
6.61,107,35,106,12.18,63.86,407.76,Maize,Flowering,DAP,,
5.71,20,85,105,34.58,54.55,1884.73,Wheat,Vegetative,Urea,,
5.95,73,27,84,11.75,64.62,1941.32,Rice,Sowing,DAP,,
4.77,135,44,38,23.62,70.27,1406.38,Rice,Vegetative,MOP,,
8.46,54,84,68,31.31,75.51,2329.6,Cotton,Vegetative,Urea,,
4.66,24,65,17,20.34,50.84,2655.22,Cotton,Sowing,Urea,,
7.12,128,39,34,37.3,53.21,2301.51,Maize,Flowering,DAP,,
6.27,56,54,93,32.66,31.42,1724.06,Rice,Harvest,Urea,,
8.3,138,84,30,22.78,68.98,2819.93,Potato,Harvest,MOP,,
5.48,126,61,13,15.51,76.6,1270.17,Cotton,Harvest,MOP,,
6.63,132,77,45,11.3,60.65,2033.23,Tomato,Harvest,DAP,,
6.43,86,64,52,34.05,52.59,1810.67,Wheat,Sowing,Compost,,
7.31,57,19,102,15.83,49.99,2556.39,Rice,Sowing,Urea,,
4.77,149,63,92,18.09,68.7,1598.86,Potato,Vegetative,Compost,,
5.28,105,43,35,10.31,49.84,1749.76,Sugarcane,Flowering,MOP,,
5.36,30,72,45,10.55,65.94,1470.68,Cotton,Flowering,Urea,,
7.45,138,40,98,16.91,85.62,593.45,Wheat,Flowering,DAP,,
5.26,101,73,32,36.19,49.84,2681.99,Wheat,Vegetative,MOP,,
6.79,54,59,111,33.42,34.1,2613.11,Tomato,Harvest,Urea,,
5.36,64,37,101,33.1,82.44,2166.88,Sugarcane,Harvest,DAP,,
7.95,28,46,50,34.81,46.41,1173.82,Tomato,Sowing,Urea,,
8.27,114,41,84,15.6,89.31,1194.26,Tomato,Sowing,Zinc Sulphate,,
6.57,156,44,102,39.37,80.41,300.8,Cotton,Harvest,Urea,,
5.91,20,66,53,16.97,55.61,417.41,Tomato,Flowering,Urea,,
5.44,22,70,59,14.5,67.69,1638.63,Maize,Flowering,Urea,,
4.7,159,41,93,18.84,46.65,339.48,Wheat,Sowing,Compost,,
5.57,113,17,18,25.91,35.05,477.82,Rice,Vegetative,DAP,,
7.12,107,89,97,13.73,61.55,903.37,Maize,Harvest,NPK,,
6.63,46,44,56,32.16,55.48,1246.34,Potato,Flowering,Urea,,
8.28,48,32,50,21.15,88.2,1570.17,Wheat,Flowering,Urea,,
6.09,146,47,22,27.05,65.85,1108.66,Wheat,Flowering,MOP,,
7.28,139,28,67,32.03,74.83,2833.92,Tomato,Harvest,DAP,,
6.46,124,63,75,37.06,38.11,2862.51,Sugarcane,Vegetative,NPK,,
6.55,97,54,90,34.58,73.42,356.92,Cotton,Harvest,Compost,,
5.57,88,45,67,26.12,33.38,2959.16,Cotton,Sowing,NPK,,
6.32,126,58,100,39.74,66.78,684.13,Potato,Vegetative,NPK,,
6.38,121,69,111,25.89,80.31,1127.85,Sugarcane,Harvest,Zinc Sulphate,,
7.33,25,65,75,26.08,58.98,2543.64,Sugarcane,Sowing,Urea,,
8.26,59,82,42,14.75,42.9,2125.61,Potato,Sowing,Urea,,
5.82,52,73,78,14.46,56.62,363.08,Tomato,Vegetative,Urea,,
4.67,156,71,87,15.06,80.47,2368.89,Maize,Vegetative,Compost,,
6.49,86,68,36,27.75,72.86,2057.08,Maize,Sowing,MOP,,
6.68,41,10,59,22.46,66.33,2861.39,Potato,Harvest,Urea,,
5.17,91,86,68,21.58,71.63,2748.02,Sugarcane,Harvest,Compost,,
7.54,97,14,109,13.83,80.05,2930.64,Maize,Vegetative,DAP,,
8.44,113,28,100,21.43,39.11,1473.68,Rice,Vegetative,DAP,,
8.28,135,67,87,21.34,80.52,2178.22,Potato,Vegetative,Zinc Sulphate,,
5.29,155,66,88,28.62,78.4,2893.34,Sugarcane,Vegetative,Compost,,
8,128,51,36,21.65,58.65,205.93,Potato,Flowering,MOP,,
7.32,153,82,68,22.56,54.17,2409.01,Cotton,Vegetative,NPK,,
6.32,53,15,65,18.18,85.95,351.07,Cotton,Sowing,Urea,,
6.66,93,31,81,13.95,79.17,2996.97,Sugarcane,Vegetative,DAP,,
7.9,114,62,94,19,89.32,238.87,Cotton,Harvest,Zinc Sulphate,,
6.42,158,66,43,11.28,68.51,1753.17,Wheat,Flowering,NPK,,
5.99,62,60,58,16.11,31.89,1658.57,Rice,Sowing,SSP,,
6.47,54,14,101,19.75,39.23,1053.26,Wheat,Flowering,Urea,,
6.82,158,31,97,14.37,79.22,2250.57,Sugarcane,Sowing,DAP,,
5.26,109,16,26,29.95,68.34,919.59,Cotton,Harvest,DAP,,
8.1,84,73,79,18.42,41.88,1014.2,Tomato,Flowering,Zinc Sulphate,,
7.2,67,66,47,28.47,30.72,705.01,Potato,Flowering,SSP,,
7.03,58,35,92,29.32,45.77,2199.39,Maize,Flowering,Urea,,
4.9,123,34,10,23.42,38.25,676.1,Wheat,Vegetative,DAP,,
6.92,120,78,47,23.47,82.57,2713.48,Wheat,Sowing,MOP,,
4.98,51,41,35,27.44,82.97,1005.94,Cotton,Sowing,Urea,,
4.81,142,17,78,17.87,80.54,1652.14,Maize,Sowing,DAP,,
6.61,113,18,77,10.64,35.68,1530.18,Sugarcane,Vegetative,DAP,,
6.11,143,63,34,29.35,38.1,2166.59,Cotton,Flowering,MOP,,
6.86,142,29,118,28.26,38.13,855.31,Rice,Harvest,DAP,,
4.86,101,77,67,24.29,45.5,2548.19,Rice,Harvest,Compost,,
6.22,127,76,54,36.27,34.37,2266.11,Sugarcane,Vegetative,NPK,,
5.2,86,53,31,25.26,88.89,1159.32,Sugarcane,Harvest,MOP,,
8.45,31,50,57,19.1,81.31,536.81,Rice,Vegetative,Urea,,
6.74,39,51,22,31.41,34.15,1613.34,Tomato,Vegetative,Urea,,
7.25,69,20,96,38.87,38.62,2945.47,Potato,Sowing,DAP,,
5.8,155,52,106,32.11,45.74,267.91,Potato,Vegetative,NPK,,
4.88,145,17,34,37.27,76.5,2565.61,Maize,Flowering,DAP,,
8.4,61,55,19,13.38,72.85,2159.34,Sugarcane,Sowing,MOP,,
5.65,97,43,27,13.63,67.83,712.91,Rice,Vegetative,MOP,,
6.2,98,77,64,14.64,84.73,1533.98,Maize,Vegetative,NPK,,
7.1,45,24,36,31.09,32.18,1957.5,Potato,Sowing,Urea,,
4.6,129,27,65,21.69,39.68,2150.72,Maize,Vegetative,DAP,,
7.74,57,20,65,24.33,41.39,2779.82,Sugarcane,Harvest,Urea,,
6.65,116,28,58,17.86,33.58,2644.61,Wheat,Vegetative,DAP,,
5.61,157,82,35,32.08,67.1,1119.6,Maize,Harvest,MOP,,
4.75,30,34,115,35.36,42.58,536.1,Sugarcane,Vegetative,Urea,,
5.15,150,31,11,14.81,58.96,491.95,Maize,Flowering,DAP,,
8.08,142,71,83,15.78,71.13,2912.48,Tomato,Harvest,Zinc Sulphate,,
7.24,42,46,69,20.18,65.72,2876.29,Tomato,Sowing,Urea,,
5.5,81,19,93,18.4,47.41,2494.64,Cotton,Flowering,DAP,,
4.76,60,61,47,25.95,54.85,2945.29,Tomato,Flowering,Compost,,
7.26,140,86,12,32.58,50.39,967.67,Maize,Vegetative,MOP,,
6.79,112,77,83,33.8,81.15,2511.58,Wheat,Flowering,NPK,,
6.12,23,37,101,16.25,55.2,1606.24,Potato,Vegetative,Urea,,
5.95,150,39,92,15.27,33.7,2437.82,Maize,Harvest,DAP,,
5.37,70,55,90,20.91,67.16,1910.32,Wheat,Sowing,Compost,,
7.18,126,49,117,14.43,41.86,2569.32,Rice,Flowering,DAP,,
8.38,91,30,62,12.75,50.32,1312.57,Tomato,Flowering,DAP,,
5.2,89,24,53,17.28,49.66,2969.59,Wheat,Sowing,DAP,,
6.89,88,12,32,21.82,34.35,813.85,Maize,Vegetative,DAP,,
6.2,27,88,37,27.64,87.06,2083.31,Tomato,Vegetative,Urea,,
